Διεθνών και Ευρωπαϊκών Σπουδών,Πειραιάς,18.255
Αξιωματικών Ελληνικής Αστυνομίας (Μόνο για Πολίτες),Αθήνα,18.113
Σχολή Ανθυποπυραγών (Μόνο για πολίτες),Διάφορες,18.040
Διεθνών Ευρωπαϊκών και Περιφερειακών Σπουδών,Αθήνα,17.878
Επιστήμης Φυσικής Αγωγής και Αθλητισμού,Αθήνα,17.793
Οικονομικό (ΣΣΑΣ),Θεσσαλονίκη,17.568
Επιστήμης Φυσικής Αγωγής και Αθλητισμού,Θεσσαλονίκη,17.166
Διοικητικής Επιστήμης και Τεχνολογίας,Αθήνα,16.883
Σχολή Πυροσβεστών (Μόνο για Πολίτες),Διάφορες,16.838
Πληροφορικής και Τηλεπικοινωνιών,Αθήνα,16.509
Αστυφυλάκων (Μόνο για Πολίτες),Αθήνα,16.301
Αξιωματικών Ελληνικής Αστυνομίας  (Μόνο για Αστυνομικούς),Αθήνα,16.134
Λογιστικής και Χρηματοοικονομικής,Αθήνα,15.955
Επιστήμης Φυσικής Αγωγής και Αθλητισμού,Τρίκαλα,15.882
Πληροφορικής,Θεσσαλονίκη,15.793
Πληροφορικής,Αθήνα,15.632
Επιστήμης Φυσικής Αγωγής και Αθλητισμού,Σέρρες,15.505
Βαλκανικών Σλαβικών και Ανατολικών Σπουδών,Θεσσαλονίκη,15.401
Αγροτικής Οικονομίας και Ανάπτυξης,Αθήνα,15.227
Πληροφορικής,Πειραιάς,15.165
Ναυτιλιακών Σπουδών,Πειραιάς,15.133
Μουσικής Επιστήμης και Τέχνης,Θεσσαλονίκη,15.126
Επιστήμης Φυσικής Αγωγής και Αθλητισμού,Κομοτηνή,15.096
Οργάνωσης και Διοίκησης Επιχειρήσεων,Αθήνα,15.014
Οικονομικής Επιστήμης,Αθήνα,14.943
Παιδαγωγικό Δημοτικής Εκπαίδευσης,Αθήνα,14.915
Λογιστικής και Χρηματοοικονομικής,Θεσσαλονίκη,14.756
Εφαρμοσμένης Πληροφορικής,Θεσσαλονίκη,14.742
Πληροφορικής και Τηλεματικής,Αθήνα,14.730
Κινηματογράφου,Θεσσαλονίκη,14.660
Παιδαγωγικό Ειδικής Αγωγής,Βόλος,14.557
Δημόσιας Διοίκησης,Αθήνα,14.502
Θεάτρου,Θεσσαλονίκη,14.448
Χρηματοοικονομικής και Τραπεζικής Διοικητικής,Πειραιάς,14.269
Εκπαίδευσης και Αγωγής στην Προσχολική Ηλικία,Αθήνα,14.195
Παιδαγωγικό Δημοτικής Εκπαίδευσης,Θεσσαλονίκη,14.148
Ιστορίας και Φιλοσοφίας της Επιστήμης,Αθήνα,14.072
Ψηφιακών Συστημάτων,Πειραιάς,13.965
Οικονομικών Επιστημών,Θεσσαλονίκη,13.931
Επιστήμης Υπολογιστών,Ηράκλειο,13.872
Μηχανικών Παραγωγής και Διοίκησης,Χανιά,13.843
Ανώτερη Σχολή Τουριστικής Εκπαίδευσης Κρήτης (ΑΣΤΕΚ),Αγ. Νικόλαος,13.605
Στατιστικής,Αθήνα,13.511
Σχολή Ανθυποπυραγών (Μόνο για Πυροσβέστες),Αθήνα,13.472
Ανώτερη Σχολή Τουριστικής Εκπαίδευσης Ρόδου (ΑΣΤΕΡ),Ρόδος,13.388
Παιδαγωγικό Δημοτικής Εκπαίδευσης,Πάτρα,13.356
Μηχανικών Παραγωγής και Διοίκησης,Ξάνθη,13.307
Οργάνωσης και Διοίκησης Επιχειρήσεων,Πειραιάς,13.292
Μάρκετινγκ και Επικοινωνίας,Αθήνα,13.201
Οικονομικής Επιστήμης,Πειραιάς,13.167
Επιστημών Προσχολικής Αγωγής και Εκπαίδευσης,Θεσσαλονίκη,13.116
Παιδαγωγικό Δημοτικής Εκπαίδευσης,Βόλος,13.089
Τουριστικών Σπουδών,Πειραιάς,13.039
Βιομηχανικής Διοίκησης και Τεχνολογίας,Πειραιάς,13.034
Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών,Αθήνα,13.016
Οργάνωσης και Διοίκησης Επιχειρήσεων,Θεσσαλονίκη,12.984
Διεθνών και Ευρωπαϊκών Σπουδών,Θεσσαλονίκη,12.878
Οικονομικών Επιστημών,Θεσσαλονίκη,12.812
Οικονομικών Επιστημών,Αθήνα,12.738
Μουσικών Σπουδών,Θεσσαλονίκη,12.575
Στατιστικής και Ασφαλιστικής Επιστήμης,Πειραιάς,12.543
Παιδαγωγικό Δημοτικής Εκπαίδευσης,Ιωάννινα,12.468
Πληροφορικής και Τηλεπικοινωνιών,Τρίπολη,12.347
Τεχνών Ήχου και Εικόνας,Κέρκυρα,12.297
Πληροφορικής και Τηλεπικοινωνιών,Λαμία,12.275
Οικονομικής και Περιφερειακής Ανάπτυξης,Αθήνα,12.150
Μηχανικών Πληροφορικής ΤΕ,Θεσσαλονίκη,12.110
Παιδαγωγικό Δημοτικής Εκπαίδευσης,Ρέθυμνο,12.060
Οικονομικών Επιστημών,Πάτρα,11.960
Πληροφορικής,Κέρκυρα,11.926
Μουσικών Σπουδών,Αθήνα,11.881
Αγροτικής Ανάπτυξης,Ορεστιάδα,11.846
Επιστημών της Εκπαίδευσης και της Αγωγής στην Προσχολική Ηλικία,Πάτρα,11.815
Οικονομικών Επιστημών,Βόλος,11.676
Παιδαγωγικό Δημοτικής Εκπαίδευσης,Αλεξ/πολη,11.613
Οικονομικών Επιστημών,Ιωάννινα,11.581
Διαχείρισης Πολιτισμικού Περιβάλλοντος και Νέων Τεχνολογιών,Αγρίνιο,11.489
Παιδαγωγικό Δημοτικής Εκπαίδευσης,Φλώρινα,11.444
Μηχανικών Αυτοματισμού ΤΕ,Θεσσαλονίκη,11.428
Παιδαγωγικό Προσχολικής Εκπαίδευσης,Βόλος,11.414
Πολιτισμικής Τεχνολογίας και Επικοινωνίας,Μυτιλήνη,11.397
Διοίκησης Επιχειρήσεων,Πάτρα,11.386
Οικονομικών Επιστημών,Κομοτηνή,11.245
Ψηφιακών Μέσων και Επικοινωνίας ΤΕ,Καστοριά,11.208
Οικιακής Οικονομίας και Οικολογίας,Αθήνα,11.177
Ναυτιλίας και Επιχειρηματικών Υπηρεσιών,Χίος,11.134
Οικονομικών Επιστημών,Ρέθυμνο,11.043
Ψηφιακών Μέσων και Επικοινωνίας ΤΕ,Αργοστόλι,11.034
Παιδαγωγικό Δημοτικής Εκπαίδευσης,Ρόδος,10.992
Λαικής και Παραδοσιακής Μουσικής,Αρτα,10.872
Προσχολικής Αγωγής,Θεσσαλονίκη,10.867
Παιδαγωγικό Νηπιαγωγών,Ιωάννινα,10.833
Οικονομικών Επιστημών,Τρίπολη,10.749
Παιδαγωγικό Προσχολικής Εκπαίδευσης,Ρέθυμνο,10.659
Λογιστικής και Χρηματοοικονομικής,Θεσσαλονίκη,10.553
Σχολή Πλοιάρχων,Διάφορες,10.549
Οικονομικής και Διοίκησης Τουρισμού,Χίος,10.548
Μουσικών Σπουδών,Κέρκυρα,10.524
Διοίκησης Επιχειρήσεων - Διοίκηση Τουριστικών Επιχειρήσεων και Επιχειρήσεων Φιλοξενίας,Θεσσαλονίκη,10.492
Διοίκησης Επιχειρήσεων - Διοίκηση Επιχειρήσεων,Θεσσαλονίκη,10.461
Μηχανικών Πληροφορικής ΤΕ,Σέρρες,10.361
Παιδαγωγικό Νηπιαγωγών,Φλώρινα,10.351
Επιστημών της Εκπαίδευσης στην Προσχολική Ηλικία,Αλεξ/πολη,10.289
Μηχανικών Πληροφορικής ΤΕ,Ηράκλειο,10.230
Μηχανικών Οικονομίας και Διοίκησης,Χίος,10.185
Ηλεκτρονικών Μηχανικών ΤΕ,Θεσσαλονίκη,10.157
Προσχολικής Αγωγής,Ιωάννινα,10.140
Διοίκησης Επιχειρήσεων,Χίος,10.103
Επιστημών της Προσχολικής Αγωγής και Εκπαιδευτικού Σχεδιασμού,Ρόδος,10.060
Μηχανικών Πληροφορικής ΤΕ,Λαμία,10.035
Μηχανικών Σχεδίασης Προϊόντων και Συστημάτων,Σύρος,9.963
Τεχνολογίας Αλιείας - Υδατοκαλλιεργειών,Μεσολόγγι,9.876
Μηχανικών Πληροφορικής ΤΕ,Λάρισα,9.862
Μηχανικών Πληροφορικής ΤΕ,Καβάλα,9.522
Οργάνωσης και Διαχείρισης Αθλητισμού,Σπάρτη,9.431
Διοίκησης Επιχειρήσεων,Πάτρα,9.361
Λογιστικής και Χρηματοοικονομικής,Χαλκίδα,9.279
Λογιστικής και Χρηματοοικονομικής,Λάρισα,9.071
Μηχανικών Πληροφορικής ΤΕ,Ναύπακτος,8.890
Σχολή Μηχανικών,Διάφορες,8.889
Τουριστικών Επιχειρήσεων,Πάτρα,8.889
Μηχανικών Αυτοματισμού ΤΕ,Χαλκίδα,8.889
Διοίκησης Επιχειρήσεων - Διοίκηση Επιχειρήσεων,Ηράκλειο,8.714
Μηχανικών Πληροφορικής ΤΕ,Σπάρτη,8.619
Λογιστικής και Χρηματοοικονομικής,Ηράκλειο,8.526
Διοίκησης Επιχειρήσεων - Διοίκηση Επιχειρήσεων,Λάρισα,8.521
Μηχανικών Πληροφορικής ΤΕ,Καστοριά,8.513
Διοίκησης Επιχειρήσεων Αγροτικών Προϊόντων και Τροφίμων,Αγρίνιο,8.482
Λογιστικής και Χρηματοοικονομικής,Καλαμάτα,8.310
Μηχανικών Πληροφορικής ΤΕ,Αρτα,8.221
Ηλεκτρονικών Μηχανικών ΤΕ,Λαμία,8.204
Λογιστικής και Χρηματοοικονομικής,Σέρρες,8.030
Ηλεκτρονικών Μηχανικών ΤΕ,Χανιά,7.964
Διοίκησης Επιχειρήσεων - Διοίκηση Τουριστικών Επιχειρήσεων και Επιχειρήσεων Φιλοξενίας,Λάρισα,7.952
Διοίκησης Επιχειρήσεων - Διοίκηση Τουριστικών Επιχειρήσεων και Επιχειρήσεων Φιλοξενίας,Ηράκλειο,7.832
Διοίκησης Συστημάτων Εφοδιασμού,Θήβα,7.645
Διοίκησης Επιχειρήσεων,Σέρρες,7.631
Λογιστικής και Χρηματοοικονομικής,Μεσολόγγι,7.455
Λογιστικής και Χρηματοοικονομικής,Καβάλα,7.395
Γεωγραφίας,Μυτιλήνη,7.157
Διοίκησης Επιχειρήσεων,Αγ. Νικόλαος,7.123
Διοίκησης Επιχειρήσεων,Μεσολόγγι,7.052
Λογιστικής και Χρηματοοικονομικής,Πρέβεζα,6.829
Λογιστικής και Χρηματοοικονομικής,Κοζάνη,6.713
Διοίκησης Επιχειρήσεων και Οργανισμών - Διοίκηση Μονάδων Υγείας και Πρόνοιας,Καλαμάτα,6.695
Διοίκησης Επιχειρήσεων,Καβάλα,6.651
Διοίκησης Συστημάτων Εφοδιασμού,Κατερίνη,6.473
Διοίκησης Επιχειρήσεων,Κοζάνη,6.267
Διοίκησης Επιχειρήσεων - Διοίκηση Επιχειρήσεων,Λευκάδα,6.266
Διεθνούς Εμπορίου,Καστοριά,6.113
Σχεδιασμού και Τεχνολογίας Ξύλου και Επίπλου ΤΕ,Καρδίτσα,6.101
Τεχνολόγων Περιβάλλοντος ΤΕ - Τεχνολογιών Φυσικού Περιβάλλοντος ΤΕ,Ζάκυνθος,6.040
Διοίκησης Επιχειρήσεων - Διοίκηση Επιχειρήσεων,Ηγουμενίτσα,6.022
Σχεδιασμού και Τεχνολογίας Ένδυσης,Κιλκίς,5.917
Διοίκησης Επιχειρήσεων και Οργανισμών - Τοπικής Αυτοδιοίκησης,Καλαμάτα,5.855
Διοίκησης Επιχειρήσεων - Διοίκηση Επιχειρήσεων,Γρεβενά,5.830
Διοίκησης Οικονομίας και Επικοινωνίας Πολιτιστικών και Τουριστικών Μονάδων,Άμφισσα,5.583
Διοίκησης Οικονομίας και Επικοινωνίας Πολιτιστικών και Τουριστικών Μονάδων,Πύργος,5.440
Τεχνολογίας Ήχου και Μουσικών Οργάνων,Ληξούρι,5.355
Μηχανικών Μουσικής Τεχνολογίας και Ακουστικής ΤΕ,Ρέθυμνο,5.178
Εσωτερικής Αρχιτεκτονικής Διακόσμησης και Σχεδίασμου Αντικειμένων,Σέρρες,5.149
Διοίκησης Επιχειρήσεων - Διοίκηση Τουριστικών Επιχειρήσεων και Επιχειρήσεων Φιλοξενίας,Γρεβενά,4.227
Διοίκησης Επιχειρήσεων - Διοίκηση Τουριστικών Επιχειρήσεων και Επιχειρήσεων Φιλοξενίας,Ηγουμενίτσα,3.598
Διοίκησης Επιχειρήσεων - Διοίκηση Τουριστικών Επιχειρήσεων και Επιχειρήσεων Φιλοξενίας,Λευκάδα,2.956
